C0-V (29697 genes)	C1-V (28578 genes)
TRINITY_DN76313_c0_g1_i3	TRINITY_DN830_c4_g1_i6
TRINITY_DN76313_c0_g1_i9	TRINITY_DN83105_c1_g1_i1
TRINITY_DN76313_c0_g3_i2	TRINITY_DN83107_c0_g1_i1
TRINITY_DN7631_c0_g3_i1	TRINITY_DN8311_c0_g1_i3
TRINITY_DN7632_c0_g1_i11	TRINITY_DN8314_c0_g1_i1
TRINITY_DN7632_c0_g1_i3	TRINITY_DN8314_c0_g1_i8
TRINITY_DN76332_c0_g2_i1	TRINITY_DN83150_c1_g1_i1
TRINITY_DN7633_c0_g1_i3	TRINITY_DN8315_c0_g1_i1
TRINITY_DN7636_c0_g1_i4	TRINITY_DN8315_c0_g2_i5
TRINITY_DN7637_c0_g1_i1	TRINITY_DN83179_c0_g1_i1
TRINITY_DN7638_c0_g1_i4	TRINITY_DN831_c0_g1_i15
TRINITY_DN7638_c0_g1_i5	TRINITY_DN831_c0_g1_i2
TRINITY_DN7638_c1_g1_i1	TRINITY_DN8320_c0_g1_i1
TRINITY_DN7640_c0_g1_i1	TRINITY_DN8320_c1_g1_i3
TRINITY_DN7640_c0_g1_i2	TRINITY_DN83212_c0_g1_i3
TRINITY_DN7640_c0_g1_i3	TRINITY_DN8321_c0_g2_i1
TRINITY_DN7641_c1_g1_i1	TRINITY_DN8321_c3_g1_i1
TRINITY_DN7642_c1_g1_i1	TRINITY_DN8325_c0_g1_i6
TRINITY_DN7643_c0_g1_i1	TRINITY_DN8325_c0_g1_i7
TRINITY_DN76443_c0_g1_i1	TRINITY_DN8326_c0_g1_i10
TRINITY_DN7644_c0_g1_i4	TRINITY_DN8326_c0_g1_i5
TRINITY_DN7644_c0_g1_i7	TRINITY_DN8326_c0_g1_i8
TRINITY_DN7646_c0_g2_i8	TRINITY_DN832_c0_g1_i2
TRINITY_DN7646_c3_g1_i1	TRINITY_DN8331_c0_g1_i1
TRINITY_DN76472_c0_g1_i2	TRINITY_DN8331_c0_g2_i2
TRINITY_DN7647_c0_g1_i12	TRINITY_DN8335_c0_g1_i2
TRINITY_DN7647_c0_g1_i8	TRINITY_DN8335_c0_g1_i3
TRINITY_DN76488_c0_g1_i1	TRINITY_DN8335_c1_g1_i1
TRINITY_DN7648_c0_g1_i1	TRINITY_DN83378_c0_g3_i1
TRINITY_DN7648_c0_g4_i1	TRINITY_DN8337_c0_g4_i2
TRINITY_DN7649_c0_g1_i1	TRINITY_DN8338_c0_g2_i1
TRINITY_DN764_c0_g1_i1	TRINITY_DN8339_c0_g1_i2
TRINITY_DN764_c0_g1_i2	TRINITY_DN8339_c0_g3_i1
TRINITY_DN76511_c0_g1_i2	TRINITY_DN833_c0_g1_i7
TRINITY_DN76529_c0_g1_i4	TRINITY_DN8342_c0_g1_i1
TRINITY_DN7653_c0_g2_i1	TRINITY_DN8342_c2_g1_i1
TRINITY_DN7655_c0_g1_i1	TRINITY_DN834_c0_g1_i1
TRINITY_DN7657_c0_g2_i1	TRINITY_DN8353_c0_g1_i3
TRINITY_DN7659_c0_g2_i1	TRINITY_DN8353_c1_g2_i1
TRINITY_DN7659_c3_g1_i2	TRINITY_DN83544_c0_g1_i1
TRINITY_DN7659_c3_g2_i2	TRINITY_DN8355_c0_g1_i5
TRINITY_DN765_c0_g2_i5	TRINITY_DN8355_c0_g1_i6
TRINITY_DN765_c0_g3_i4	TRINITY_DN8355_c1_g1_i1
TRINITY_DN7663_c0_g1_i3	TRINITY_DN8356_c0_g6_i1
TRINITY_DN7664_c0_g1_i1	TRINITY_DN8357_c1_g1_i4
TRINITY_DN76670_c0_g1_i2	TRINITY_DN8357_c2_g1_i6
TRINITY_DN7669_c0_g1_i2	TRINITY_DN8358_c0_g1_i2
TRINITY_DN766_c0_g1_i11	TRINITY_DN8359_c0_g1_i12
TRINITY_DN766_c0_g1_i12	TRINITY_DN8364_c0_g1_i7
TRINITY_DN766_c0_g1_i16	TRINITY_DN83664_c0_g1_i1
TRINITY_DN766_c0_g1_i17	TRINITY_DN8366_c0_g1_i2
TRINITY_DN766_c0_g1_i22	TRINITY_DN8367_c0_g1_i1
TRINITY_DN766_c0_g1_i3	TRINITY_DN8367_c0_g1_i2
TRINITY_DN7673_c0_g1_i1	TRINITY_DN8367_c0_g1_i4
TRINITY_DN76740_c0_g1_i1	TRINITY_DN8367_c0_g2_i1
TRINITY_DN7676_c0_g1_i1	TRINITY_DN8367_c4_g1_i1
TRINITY_DN7677_c0_g1_i1	TRINITY_DN83686_c0_g1_i1
TRINITY_DN7677_c0_g1_i3	TRINITY_DN83688_c0_g2_i1
TRINITY_DN76783_c0_g1_i1	TRINITY_DN8368_c0_g1_i7
TRINITY_DN767_c0_g1_i1	TRINITY_DN8368_c0_g1_i8
TRINITY_DN767_c0_g1_i3	TRINITY_DN8369_c0_g1_i14
TRINITY_DN7680_c0_g2_i1	TRINITY_DN8369_c0_g1_i20
TRINITY_DN76820_c0_g1_i1	TRINITY_DN8370_c0_g2_i1
TRINITY_DN7683_c0_g1_i1	TRINITY_DN8370_c0_g3_i1
TRINITY_DN7683_c0_g1_i12	TRINITY_DN8370_c0_g3_i4
TRINITY_DN76844_c1_g1_i2	TRINITY_DN8371_c0_g1_i3
TRINITY_DN7685_c0_g1_i1	TRINITY_DN8371_c0_g1_i6
TRINITY_DN76875_c0_g1_i1	TRINITY_DN8371_c0_g1_i8
TRINITY_DN76875_c0_g1_i6	TRINITY_DN8372_c0_g1_i1
TRINITY_DN7687_c1_g1_i2	TRINITY_DN8372_c1_g1_i1
TRINITY_DN7688_c0_g1_i6	TRINITY_DN83731_c2_g1_i2
TRINITY_DN7688_c0_g1_i7	TRINITY_DN8373_c0_g2_i3
TRINITY_DN7688_c0_g1_i8	TRINITY_DN8373_c0_g3_i1
TRINITY_DN7688_c3_g1_i2	TRINITY_DN8373_c0_g3_i4
TRINITY_DN7689_c0_g1_i1	TRINITY_DN8373_c0_g5_i1
TRINITY_DN768_c0_g1_i12	TRINITY_DN8375_c0_g1_i11
TRINITY_DN768_c1_g1_i1	TRINITY_DN8375_c0_g1_i13
TRINITY_DN768_c1_g1_i4	TRINITY_DN83769_c1_g1_i1
TRINITY_DN768_c1_g2_i1	TRINITY_DN8379_c0_g5_i1
TRINITY_DN768_c2_g1_i2	TRINITY_DN837_c0_g1_i1
TRINITY_DN768_c2_g1_i3	TRINITY_DN837_c0_g1_i4
TRINITY_DN768_c4_g1_i1	TRINITY_DN837_c0_g2_i2
TRINITY_DN7694_c0_g1_i2	TRINITY_DN837_c1_g1_i6
TRINITY_DN7694_c0_g1_i4	TRINITY_DN8380_c0_g1_i6
TRINITY_DN7694_c0_g4_i1	TRINITY_DN8385_c0_g2_i1
TRINITY_DN7695_c0_g4_i1	TRINITY_DN8385_c0_g2_i3
TRINITY_DN76962_c0_g1_i1	TRINITY_DN8385_c0_g2_i4
TRINITY_DN7697_c0_g1_i1	TRINITY_DN83871_c0_g2_i1
TRINITY_DN7698_c0_g2_i1	TRINITY_DN8387_c0_g1_i3
TRINITY_DN76993_c0_g1_i5	TRINITY_DN8387_c0_g1_i7
TRINITY_DN76993_c1_g1_i1	TRINITY_DN8387_c0_g2_i1
TRINITY_DN769_c0_g1_i2	TRINITY_DN83891_c0_g1_i4
TRINITY_DN769_c0_g1_i7	TRINITY_DN838_c0_g1_i1
TRINITY_DN769_c0_g4_i1	TRINITY_DN838_c0_g1_i3
TRINITY_DN769_c2_g1_i1	TRINITY_DN838_c0_g1_i6
TRINITY_DN76_c0_g2_i2	TRINITY_DN83905_c1_g1_i1
TRINITY_DN76_c1_g1_i1	TRINITY_DN83944_c1_g1_i2
TRINITY_DN76_c4_g2_i1	TRINITY_DN8395_c0_g1_i2
TRINITY_DN7702_c0_g2_i1	TRINITY_DN8395_c0_g1_i4
TRINITY_DN77043_c0_g1_i2	TRINITY_DN8396_c0_g2_i3
TRINITY_DN7704_c0_g2_i2	TRINITY_DN8396_c0_g3_i5
TRINITY_DN7705_c0_g1_i1	TRINITY_DN83977_c0_g1_i7
TRINITY_DN77063_c0_g3_i1	TRINITY_DN83985_c0_g1_i1
TRINITY_DN77074_c0_g1_i1	TRINITY_DN8398_c0_g1_i1
TRINITY_DN77083_c0_g1_i4	TRINITY_DN8398_c0_g1_i16
TRINITY_DN77083_c0_g2_i1	TRINITY_DN8398_c0_g1_i23
TRINITY_DN7708_c0_g1_i10	TRINITY_DN8398_c0_g1_i7
TRINITY_DN7708_c0_g1_i11	TRINITY_DN8398_c0_g2_i2
TRINITY_DN770_c0_g1_i1	TRINITY_DN8399_c0_g1_i1
TRINITY_DN770_c0_g1_i2	TRINITY_DN84021_c0_g1_i1
TRINITY_DN770_c1_g1_i1	TRINITY_DN84058_c0_g1_i1
TRINITY_DN7711_c0_g2_i1	TRINITY_DN84058_c0_g3_i1
TRINITY_DN7713_c0_g1_i4	TRINITY_DN84088_c1_g1_i1
TRINITY_DN7713_c0_g1_i7	TRINITY_DN84094_c0_g1_i1
TRINITY_DN7713_c0_g2_i1	TRINITY_DN8409_c0_g1_i1
TRINITY_DN7713_c0_g2_i3	TRINITY_DN840_c0_g1_i15
TRINITY_DN7713_c0_g2_i4	TRINITY_DN840_c0_g2_i1
TRINITY_DN7713_c0_g2_i6	TRINITY_DN84147_c0_g5_i1
TRINITY_DN7715_c0_g1_i1	TRINITY_DN8417_c0_g2_i10
TRINITY_DN7717_c0_g1_i2	TRINITY_DN8417_c0_g2_i8
TRINITY_DN7717_c0_g1_i3	TRINITY_DN8419_c0_g3_i1
TRINITY_DN7717_c0_g2_i2	TRINITY_DN841_c0_g1_i7
TRINITY_DN7717_c1_g1_i1	TRINITY_DN841_c0_g1_i8
TRINITY_DN7717_c1_g3_i1	TRINITY_DN841_c4_g1_i1
TRINITY_DN7717_c1_g3_i2	TRINITY_DN84205_c0_g3_i1
TRINITY_DN7718_c0_g1_i3	TRINITY_DN8422_c0_g2_i1
TRINITY_DN7719_c0_g1_i4	TRINITY_DN84230_c0_g1_i5
TRINITY_DN771_c1_g1_i9	TRINITY_DN84232_c0_g1_i2
TRINITY_DN7721_c0_g1_i13	TRINITY_DN84238_c0_g3_i3
TRINITY_DN7723_c1_g1_i1	TRINITY_DN8427_c0_g1_i1
TRINITY_DN77249_c0_g1_i2	TRINITY_DN842_c0_g3_i1
TRINITY_DN7724_c1_g1_i3	TRINITY_DN842_c1_g1_i1
TRINITY_DN7725_c3_g1_i1	TRINITY_DN842_c1_g1_i4
TRINITY_DN7726_c0_g1_i2	TRINITY_DN84310_c0_g1_i3
TRINITY_DN7726_c0_g1_i3	TRINITY_DN84335_c0_g1_i1
TRINITY_DN77282_c0_g1_i4	TRINITY_DN8433_c0_g2_i2
TRINITY_DN7729_c0_g1_i11	TRINITY_DN8433_c1_g1_i1
TRINITY_DN7729_c0_g1_i2	TRINITY_DN84359_c0_g1_i1
TRINITY_DN7729_c0_g1_i6	TRINITY_DN84360_c0_g1_i1
TRINITY_DN7729_c0_g1_i9	TRINITY_DN8436_c0_g2_i1
TRINITY_DN7729_c0_g2_i1	TRINITY_DN8436_c0_g2_i5
TRINITY_DN7729_c1_g1_i1	TRINITY_DN8436_c0_g2_i6
TRINITY_DN772_c0_g1_i2	TRINITY_DN8439_c0_g1_i2
TRINITY_DN772_c0_g1_i5	TRINITY_DN843_c4_g1_i1
TRINITY_DN772_c0_g2_i1	TRINITY_DN84403_c1_g1_i2
TRINITY_DN772_c0_g2_i3	TRINITY_DN8440_c0_g1_i3
TRINITY_DN772_c0_g2_i4	TRINITY_DN8440_c0_g2_i2
TRINITY_DN772_c0_g3_i2	TRINITY_DN8441_c0_g1_i5
TRINITY_DN77303_c0_g1_i1	TRINITY_DN8441_c0_g3_i1
TRINITY_DN7730_c0_g2_i1	TRINITY_DN8443_c1_g1_i2
TRINITY_DN7730_c0_g2_i10	TRINITY_DN84446_c0_g1_i5
TRINITY_DN7730_c0_g2_i11	TRINITY_DN8444_c4_g1_i1
TRINITY_DN7730_c0_g2_i12	TRINITY_DN84454_c0_g1_i1
TRINITY_DN7730_c0_g2_i13	TRINITY_DN84457_c0_g1_i1
TRINITY_DN7730_c0_g2_i3	TRINITY_DN84457_c0_g1_i3
TRINITY_DN7730_c0_g2_i4	TRINITY_DN84457_c0_g1_i4
TRINITY_DN7730_c0_g2_i5	TRINITY_DN8445_c0_g1_i2
TRINITY_DN7731_c0_g1_i6	TRINITY_DN84470_c0_g1_i1
TRINITY_DN7731_c1_g1_i2	TRINITY_DN8448_c0_g1_i1
TRINITY_DN7732_c0_g1_i2	TRINITY_DN8448_c0_g1_i12
TRINITY_DN7732_c0_g1_i3	TRINITY_DN844_c0_g2_i1
TRINITY_DN7732_c1_g1_i1	TRINITY_DN844_c0_g2_i4
TRINITY_DN7732_c4_g1_i1	TRINITY_DN8450_c0_g1_i2
TRINITY_DN7735_c0_g3_i1	TRINITY_DN84522_c1_g2_i1
TRINITY_DN7736_c0_g1_i2	TRINITY_DN8455_c0_g2_i1
TRINITY_DN7736_c0_g1_i4	TRINITY_DN8455_c1_g1_i1
TRINITY_DN7736_c1_g1_i1	TRINITY_DN8455_c1_g2_i2
TRINITY_DN7736_c1_g1_i14	TRINITY_DN8455_c1_g3_i1
TRINITY_DN7736_c1_g1_i19	TRINITY_DN8455_c1_g5_i1
TRINITY_DN7736_c1_g1_i3	TRINITY_DN84581_c0_g4_i1
TRINITY_DN7736_c1_g2_i3	TRINITY_DN8458_c0_g1_i2
TRINITY_DN7737_c0_g1_i1	TRINITY_DN845_c0_g1_i1
TRINITY_DN7737_c0_g2_i11	TRINITY_DN845_c0_g1_i4
TRINITY_DN7737_c0_g2_i5	TRINITY_DN84604_c3_g1_i1
TRINITY_DN7738_c0_g1_i1	TRINITY_DN8460_c0_g1_i10
TRINITY_DN7738_c0_g1_i2	TRINITY_DN8460_c0_g1_i15
TRINITY_DN7738_c0_g1_i8	TRINITY_DN8460_c0_g1_i2
TRINITY_DN7738_c0_g2_i1	TRINITY_DN8460_c0_g1_i4
TRINITY_DN77395_c0_g1_i2	TRINITY_DN84611_c1_g1_i1
TRINITY_DN7739_c1_g1_i2	TRINITY_DN8461_c0_g1_i12
TRINITY_DN7739_c1_g4_i1	TRINITY_DN8461_c0_g1_i3
TRINITY_DN773_c0_g1_i3	TRINITY_DN8463_c0_g1_i4
TRINITY_DN773_c2_g2_i1	TRINITY_DN8465_c0_g1_i9
TRINITY_DN773_c2_g2_i6	TRINITY_DN8467_c0_g3_i1
TRINITY_DN773_c2_g2_i7	TRINITY_DN846_c0_g1_i6
TRINITY_DN7740_c0_g1_i2	TRINITY_DN84700_c0_g1_i2
TRINITY_DN77415_c2_g1_i1	TRINITY_DN84718_c2_g1_i1
TRINITY_DN77415_c3_g1_i6	TRINITY_DN8471_c0_g1_i2
TRINITY_DN7742_c0_g1_i1	TRINITY_DN8471_c0_g1_i6
TRINITY_DN7742_c0_g2_i1	TRINITY_DN8471_c0_g1_i7
TRINITY_DN7742_c0_g2_i13	TRINITY_DN84726_c0_g1_i2
TRINITY_DN7742_c0_g2_i5	TRINITY_DN8472_c0_g1_i5
TRINITY_DN7745_c0_g1_i5	TRINITY_DN8472_c0_g2_i1
TRINITY_DN7746_c0_g1_i2	TRINITY_DN84736_c0_g3_i2
TRINITY_DN77477_c0_g1_i1	TRINITY_DN8475_c0_g1_i13
TRINITY_DN7747_c0_g1_i1	TRINITY_DN84768_c0_g1_i1
TRINITY_DN77489_c0_g1_i1	TRINITY_DN8476_c0_g1_i7
TRINITY_DN7748_c0_g1_i4	TRINITY_DN84777_c0_g1_i9
TRINITY_DN7748_c0_g1_i7	TRINITY_DN8478_c0_g1_i3
TRINITY_DN7748_c1_g2_i2	TRINITY_DN84797_c0_g1_i1
TRINITY_DN7748_c1_g3_i1	TRINITY_DN847_c0_g2_i3
TRINITY_DN77497_c0_g1_i1	TRINITY_DN847_c3_g1_i1
TRINITY_DN774_c0_g1_i2	TRINITY_DN84812_c0_g1_i3
TRINITY_DN774_c0_g1_i9	TRINITY_DN8481_c0_g3_i1
TRINITY_DN7750_c0_g1_i1	TRINITY_DN84849_c0_g1_i1
TRINITY_DN7750_c0_g1_i2	TRINITY_DN8485_c0_g1_i1
TRINITY_DN7751_c0_g1_i1	TRINITY_DN8485_c1_g1_i1
TRINITY_DN7752_c0_g1_i1	TRINITY_DN8486_c0_g1_i1
TRINITY_DN7752_c0_g2_i1	TRINITY_DN8486_c0_g3_i2
TRINITY_DN7752_c2_g1_i1	TRINITY_DN84873_c1_g1_i4
TRINITY_DN7753_c0_g1_i1	TRINITY_DN84899_c0_g1_i3
TRINITY_DN7754_c0_g2_i1	TRINITY_DN848_c0_g5_i1
TRINITY_DN7754_c0_g2_i4	TRINITY_DN84923_c0_g1_i1
TRINITY_DN7754_c0_g2_i6	TRINITY_DN8492_c0_g1_i1
TRINITY_DN7755_c0_g1_i3	TRINITY_DN8492_c0_g1_i2
TRINITY_DN7755_c0_g1_i5	TRINITY_DN84931_c0_g1_i1
TRINITY_DN7755_c0_g2_i1	TRINITY_DN8493_c0_g1_i2
TRINITY_DN7756_c0_g1_i1	TRINITY_DN8494_c0_g2_i3
TRINITY_DN77571_c0_g1_i2	TRINITY_DN8495_c0_g1_i2
TRINITY_DN77572_c0_g3_i1	TRINITY_DN8495_c0_g1_i3
TRINITY_DN7757_c0_g1_i1	TRINITY_DN8495_c0_g1_i4
TRINITY_DN7757_c0_g1_i2	TRINITY_DN8495_c0_g1_i6
TRINITY_DN7757_c0_g3_i1	TRINITY_DN84960_c0_g1_i3
TRINITY_DN775_c0_g1_i3	TRINITY_DN8498_c1_g1_i1
TRINITY_DN775_c0_g2_i6	TRINITY_DN8499_c0_g3_i1
TRINITY_DN775_c1_g1_i1	TRINITY_DN849_c0_g1_i4
TRINITY_DN775_c1_g1_i7	TRINITY_DN849_c1_g1_i2
TRINITY_DN775_c1_g1_i9	TRINITY_DN849_c1_g1_i5
TRINITY_DN7760_c0_g1_i7	TRINITY_DN849_c2_g1_i1
TRINITY_DN7761_c0_g1_i3	TRINITY_DN84_c1_g1_i15
TRINITY_DN7762_c1_g1_i1	TRINITY_DN84_c1_g1_i8
TRINITY_DN7764_c0_g1_i2	TRINITY_DN84_c2_g1_i1
TRINITY_DN7765_c0_g1_i2	TRINITY_DN84_c2_g2_i3
TRINITY_DN77660_c0_g2_i1	TRINITY_DN84_c2_g3_i1
TRINITY_DN77667_c0_g1_i2	TRINITY_DN8500_c0_g1_i9
TRINITY_DN7767_c0_g1_i6	TRINITY_DN8502_c0_g2_i1
TRINITY_DN7767_c0_g1_i9	TRINITY_DN8503_c0_g1_i4
TRINITY_DN7768_c0_g1_i5	TRINITY_DN8503_c0_g1_i8
TRINITY_DN7769_c0_g1_i13	TRINITY_DN85046_c0_g2_i2
TRINITY_DN7776_c0_g1_i2	TRINITY_DN85050_c0_g2_i1
TRINITY_DN77784_c0_g1_i2	TRINITY_DN8505_c0_g1_i3
TRINITY_DN77784_c0_g1_i5	TRINITY_DN8505_c0_g1_i4
TRINITY_DN7778_c0_g1_i2	TRINITY_DN8505_c0_g1_i5
TRINITY_DN7779_c0_g1_i1	TRINITY_DN85062_c1_g2_i2
TRINITY_DN7779_c0_g2_i3	TRINITY_DN8507_c2_g1_i1
TRINITY_DN7779_c0_g2_i4	TRINITY_DN8507_c3_g1_i1
TRINITY_DN7779_c0_g2_i7	TRINITY_DN850_c0_g1_i10
TRINITY_DN7779_c0_g3_i1	TRINITY_DN8511_c0_g1_i1
TRINITY_DN77805_c0_g2_i2	TRINITY_DN85149_c0_g2_i4
TRINITY_DN7780_c0_g1_i18	TRINITY_DN85149_c0_g2_i5
TRINITY_DN7780_c0_g1_i2	TRINITY_DN8514_c1_g1_i2
TRINITY_DN7780_c0_g2_i3	TRINITY_DN8515_c0_g1_i17
TRINITY_DN7780_c0_g2_i4	TRINITY_DN85187_c0_g1_i3
TRINITY_DN7780_c0_g3_i2	TRINITY_DN851_c0_g1_i1
TRINITY_DN7783_c0_g1_i13	TRINITY_DN8520_c0_g1_i1
TRINITY_DN7783_c0_g1_i8	TRINITY_DN8520_c0_g1_i10
TRINITY_DN7783_c2_g1_i1	TRINITY_DN85214_c1_g1_i2
TRINITY_DN77847_c0_g1_i1	TRINITY_DN85217_c0_g1_i2
TRINITY_DN77878_c0_g1_i4	TRINITY_DN85224_c0_g1_i2
TRINITY_DN77881_c0_g1_i6	TRINITY_DN8522_c0_g1_i1
TRINITY_DN77887_c0_g1_i2	TRINITY_DN85230_c0_g1_i3
TRINITY_DN7788_c0_g2_i1	TRINITY_DN85256_c1_g1_i1
TRINITY_DN7789_c0_g1_i1	TRINITY_DN85257_c0_g1_i6
TRINITY_DN778_c0_g1_i2	TRINITY_DN8525_c0_g2_i2
TRINITY_DN778_c0_g1_i5	TRINITY_DN8526_c0_g1_i14
TRINITY_DN778_c0_g2_i1	TRINITY_DN8526_c0_g1_i2
TRINITY_DN778_c0_g2_i2	TRINITY_DN8526_c1_g1_i2
TRINITY_DN778_c24_g1_i1	TRINITY_DN8527_c0_g1_i1
TRINITY_DN778_c4_g1_i3	TRINITY_DN8527_c0_g2_i1
TRINITY_DN77919_c0_g1_i2	TRINITY_DN852_c0_g1_i1
TRINITY_DN7792_c0_g1_i2	TRINITY_DN852_c0_g1_i10
TRINITY_DN7797_c0_g1_i1	TRINITY_DN852_c0_g1_i11
TRINITY_DN7800_c0_g1_i12	TRINITY_DN852_c0_g1_i13
TRINITY_DN7800_c0_g1_i13	TRINITY_DN852_c0_g1_i14
TRINITY_DN7800_c0_g1_i2	TRINITY_DN852_c0_g1_i2
TRINITY_DN7800_c0_g1_i5	TRINITY_DN852_c0_g1_i8
TRINITY_DN7801_c0_g2_i4	TRINITY_DN852_c0_g1_i9
TRINITY_DN7803_c0_g1_i4	TRINITY_DN852_c0_g2_i1
TRINITY_DN7803_c0_g1_i5	TRINITY_DN852_c1_g1_i3
TRINITY_DN7803_c1_g1_i3	TRINITY_DN85308_c0_g1_i2
TRINITY_DN78061_c0_g1_i5	TRINITY_DN8530_c0_g1_i1
TRINITY_DN7807_c0_g2_i1	TRINITY_DN85315_c0_g1_i1
TRINITY_DN7807_c0_g2_i2	TRINITY_DN8531_c0_g1_i1
TRINITY_DN7808_c0_g1_i10	TRINITY_DN8531_c0_g3_i2
TRINITY_DN780_c0_g1_i3	TRINITY_DN8531_c1_g1_i1
TRINITY_DN780_c0_g1_i7	TRINITY_DN8533_c0_g1_i1
TRINITY_DN780_c3_g3_i2	TRINITY_DN8533_c1_g1_i1
TRINITY_DN780_c3_g3_i3	TRINITY_DN8535_c0_g1_i1
TRINITY_DN780_c5_g1_i1	TRINITY_DN8535_c0_g1_i6
TRINITY_DN780_c7_g1_i1	TRINITY_DN8538_c0_g1_i1
TRINITY_DN78114_c0_g1_i1	TRINITY_DN85395_c1_g1_i1
TRINITY_DN7812_c3_g1_i1	TRINITY_DN8539_c0_g1_i1
TRINITY_DN78151_c0_g1_i1	TRINITY_DN8539_c0_g1_i5
TRINITY_DN78166_c0_g1_i1	TRINITY_DN8539_c0_g2_i7
TRINITY_DN78166_c0_g2_i3	TRINITY_DN853_c0_g1_i5
TRINITY_DN7816_c0_g1_i1	TRINITY_DN853_c0_g3_i1
TRINITY_DN7817_c0_g1_i4	TRINITY_DN8541_c0_g1_i1
TRINITY_DN7817_c0_g1_i5	TRINITY_DN8543_c0_g4_i1
TRINITY_DN7817_c1_g1_i3	TRINITY_DN8544_c0_g1_i2
TRINITY_DN7817_c2_g1_i6	TRINITY_DN85450_c0_g1_i5
TRINITY_DN7818_c0_g1_i1	TRINITY_DN85450_c0_g1_i8
TRINITY_DN7818_c1_g1_i2	TRINITY_DN8546_c2_g1_i3
TRINITY_DN7818_c1_g2_i1	TRINITY_DN8546_c2_g1_i4
TRINITY_DN7818_c2_g1_i3	TRINITY_DN8547_c0_g1_i1
TRINITY_DN78192_c0_g2_i1	TRINITY_DN8547_c0_g1_i2
TRINITY_DN781_c0_g2_i10	TRINITY_DN85486_c1_g1_i1
TRINITY_DN781_c0_g2_i12	TRINITY_DN85498_c0_g1_i1
TRINITY_DN781_c0_g2_i16	TRINITY_DN85499_c0_g2_i4
TRINITY_DN781_c0_g2_i8	TRINITY_DN8549_c0_g1_i2
TRINITY_DN78201_c4_g1_i1	TRINITY_DN85508_c4_g1_i1
TRINITY_DN78228_c1_g1_i1	TRINITY_DN8551_c0_g1_i3
TRINITY_DN7822_c0_g3_i2	TRINITY_DN8551_c0_g1_i5
TRINITY_DN78234_c0_g1_i1	TRINITY_DN8552_c0_g2_i5
TRINITY_DN7824_c0_g1_i1	TRINITY_DN8552_c1_g1_i1
TRINITY_DN7824_c0_g1_i3	TRINITY_DN85533_c3_g3_i3
TRINITY_DN7826_c0_g1_i5	TRINITY_DN8553_c0_g1_i2
TRINITY_DN7826_c0_g1_i6	TRINITY_DN8553_c0_g1_i4
TRINITY_DN782_c0_g1_i1	TRINITY_DN8553_c0_g1_i7
TRINITY_DN782_c0_g1_i2	TRINITY_DN8553_c0_g1_i8
TRINITY_DN782_c0_g2_i3	TRINITY_DN8553_c0_g2_i1
TRINITY_DN782_c0_g2_i4	TRINITY_DN8557_c0_g1_i3
TRINITY_DN782_c0_g2_i5	TRINITY_DN85636_c0_g1_i3
TRINITY_DN782_c0_g4_i1	TRINITY_DN8565_c0_g1_i3
TRINITY_DN7830_c0_g1_i1	TRINITY_DN8565_c0_g2_i3
TRINITY_DN7830_c0_g1_i11	TRINITY_DN8565_c0_g2_i4
TRINITY_DN7830_c0_g1_i7	TRINITY_DN8566_c0_g1_i3
TRINITY_DN78343_c0_g1_i1	TRINITY_DN8566_c0_g2_i1
TRINITY_DN78343_c0_g1_i2	TRINITY_DN8566_c0_g3_i1
TRINITY_DN78343_c0_g1_i4	TRINITY_DN8567_c0_g1_i5
TRINITY_DN78343_c0_g1_i5	TRINITY_DN85681_c0_g2_i5
TRINITY_DN78356_c0_g2_i2	TRINITY_DN8568_c0_g1_i1
TRINITY_DN7835_c0_g2_i1	TRINITY_DN8568_c4_g1_i2
TRINITY_DN78366_c0_g1_i2	TRINITY_DN8568_c4_g2_i1
TRINITY_DN7836_c0_g2_i2	TRINITY_DN8568_c5_g1_i1
TRINITY_DN7838_c0_g1_i5	TRINITY_DN8569_c2_g1_i1
TRINITY_DN78390_c0_g1_i6	TRINITY_DN856_c0_g2_i10
TRINITY_DN783_c0_g2_i3	TRINITY_DN856_c0_g2_i14
TRINITY_DN783_c0_g2_i6	TRINITY_DN856_c0_g2_i16
TRINITY_DN7840_c0_g1_i7	TRINITY_DN856_c0_g3_i1
TRINITY_DN78418_c0_g1_i1	TRINITY_DN8571_c0_g2_i1
TRINITY_DN78418_c0_g1_i4	TRINITY_DN8571_c0_g4_i1
TRINITY_DN78418_c0_g1_i5	TRINITY_DN85732_c0_g1_i14
TRINITY_DN78427_c0_g1_i1	TRINITY_DN8576_c0_g1_i10
TRINITY_DN78427_c0_g1_i2	TRINITY_DN8576_c0_g1_i11
TRINITY_DN78439_c0_g1_i1	TRINITY_DN8576_c0_g1_i4
TRINITY_DN78439_c0_g1_i3	TRINITY_DN8576_c0_g1_i7
TRINITY_DN78443_c0_g2_i3	TRINITY_DN8576_c0_g1_i9
TRINITY_DN7844_c0_g1_i13	TRINITY_DN85770_c0_g1_i1
TRINITY_DN7844_c0_g1_i9	TRINITY_DN8578_c0_g1_i1
TRINITY_DN7845_c0_g1_i1	TRINITY_DN8578_c0_g1_i13
TRINITY_DN7845_c0_g1_i13	TRINITY_DN8578_c0_g1_i2
TRINITY_DN7845_c0_g1_i4	TRINITY_DN8578_c0_g1_i21
